,home_team,away_team,winner,tie,day,date,time,pts_win,pts_loss,yds_win,turnovers_win,yds_loss,turnovers_loss,home_team_name,home_team_city,away_team_name,away_team_city,AttendanceID,StandingsID,gameID,total,home,away,weekly_attendance,year,wins,loss,points_for,points_against,points_differential,margin_of_victory,strength_of_schedule,simple_rating,offensive_ranking,defensive_ranking,playoffs,sb_winner
58,New Orleans Saints,Philadelphia Eagles,Philadelphia Eagles,0,Sun,September 24,1:02PM,21,7,268,2,287,4,Saints,New Orleans,Eagles,Philadelphia,Saints20004,Saints2000,20004New Orleans Saints,980803.0,504315.0,476488.0,64900.0,2000,10,6,354,305,49,3.1,-2.2,0.9,-1.2,2.1,Playoffs,No Superbowl
59,New Orleans Saints,Carolina Panthers,New Orleans Saints,0,Sun,October 15,1:04PM,24,6,397,3,141,2,Saints,New Orleans,Panthers,Carolina,Saints20007,Saints2000,20007New Orleans Saints,980803.0,504315.0,476488.0,50015.0,2000,10,6,354,305,49,3.1,-2.2,0.9,-1.2,2.1,Playoffs,No Superbowl
60,New Orleans Saints,San Francisco 49ers,New Orleans Saints,0,Sun,November 5,1:02PM,31,15,360,0,346,2,Saints,New Orleans,49ers,San Francisco,Saints200010,Saints2000,200010New Orleans Saints,980803.0,504315.0,476488.0,64900.0,2000,10,6,354,305,49,3.1,-2.2,0.9,-1.2,2.1,Playoffs,No Superbowl
61,New Orleans Saints,Oakland Raiders,Oakland Raiders,0,Sun,November 19,1:02PM,31,22,293,1,333,1,Saints,New Orleans,Raiders,Oakland,Saints200012,Saints2000,200012New Orleans Saints,980803.0,504315.0,476488.0,64900.0,2000,10,6,354,305,49,3.1,-2.2,0.9,-1.2,2.1,Playoffs,No Superbowl
62,New Orleans Saints,Denver Broncos,Denver Broncos,0,Sun,December 3,1:02PM,38,23,483,0,446,3,Saints,New Orleans,Broncos,Denver,Saints200014,Saints2000,200014New Orleans Saints,980803.0,504315.0,476488.0,64900.0,2000,10,6,354,305,49,3.1,-2.2,0.9,-1.2,2.1,Playoffs,No Superbowl
63,New Orleans Saints,Atlanta Falcons,New Orleans Saints,0,Sun,December 17,1:03PM,23,7,373,1,163,3,Saints,New Orleans,Falcons,Atlanta,Saints200016,Saints2000,200016New Orleans Saints,980803.0,504315.0,476488.0,64900.0,2000,10,6,354,305,49,3.1,-2.2,0.9,-1.2,2.1,Playoffs,No Superbowl
64,New Orleans Saints,St. Louis Rams,St. Louis Rams,0,Sun,December 24,1:02PM,26,21,474,1,269,1,Saints,New Orleans,Rams,St. Louis,Saints200017,Saints2000,200017New Orleans Saints,980803.0,504315.0,476488.0,64900.0,2000,10,6,354,305,49,3.1,-2.2,0.9,-1.2,2.1,Playoffs,No Superbowl
66,New York Giants,Arizona Cardinals,New York Giants,0,Sun,September 3,1:04PM,21,16,395,2,355,4,Giants,New York,Cardinals,Arizona,Giants20001,Giants2000,20001New York Giants,1135455.0,624085.0,511370.0,77434.0,2000,12,4,328,246,82,5.1,-2.7,2.4,-1.3,3.8,Playoffs,No Superbowl
67,New York Giants,Washington Redskins,Washington Redskins,0,Sun,September 24,8:37PM,16,6,394,0,261,1,Giants,New York,Redskins,Washington,Giants20004,Giants2000,20004New York Giants,1135455.0,624085.0,511370.0,78216.0,2000,12,4,328,246,82,5.1,-2.7,2.4,-1.3,3.8,Playoffs,No Superbowl
68,New York Giants,Dallas Cowboys,New York Giants,0,Sun,October 15,1:03PM,19,14,311,0,269,5,Giants,New York,Cowboys,Dallas,Giants20007,Giants2000,20007New York Giants,1135455.0,624085.0,511370.0,78189.0,2000,12,4,328,246,82,5.1,-2.7,2.4,-1.3,3.8,Playoffs,No Superbowl
69,New York Giants,Philadelphia Eagles,New York Giants,0,Sun,October 29,4:07PM,24,7,384,0,192,1,Giants,New York,Eagles,Philadelphia,Giants20009,Giants2000,20009New York Giants,1135455.0,624085.0,511370.0,78087.0,2000,12,4,328,246,82,5.1,-2.7,2.4,-1.3,3.8,Playoffs,No Superbowl
70,New York Giants,St. Louis Rams,St. Louis Rams,0,Sun,November 12,4:15PM,38,24,397,1,348,3,Giants,New York,Rams,St. Louis,Giants200011,Giants2000,200011New York Giants,1135455.0,624085.0,511370.0,78174.0,2000,12,4,328,246,82,5.1,-2.7,2.4,-1.3,3.8,Playoffs,No Superbowl
71,New York Giants,Detroit Lions,Detroit Lions,0,Sun,November 19,1:03PM,31,21,314,2,373,4,Giants,New York,Lions,Detroit,Giants200012,Giants2000,200012New York Giants,1135455.0,624085.0,511370.0,77897.0,2000,12,4,328,246,82,5.1,-2.7,2.4,-1.3,3.8,Playoffs,No Superbowl
